municipio;moradores_por_domicilio_particular_permanente_total;moradores_por_domicilio_particular_permanente_com_rendimento_medio_mensal_de_ate_1/4_salarios_minimos;moradores_por_domicilio_particular_permanente_com_rendimento_medio_mensal_de_1/4_a_1/2_salarios_minimos;moradores_por_domicilio_particular_permanente_com_rendimento_medio_mensal_de_1/2_a_1_salarios_minimos;moradores_por_domicilio_particular_permanente_com_rendimento_medio_mensal_de_1_a_2_salarios_minimos;moradores_por_domicilio_particular_permanente_com_rendimento_medio_mensal_de_2_a_3_salarios_minimos;moradores_por_domicilio_particular_permanente_com_rendimento_medio_mensal_mais_de_3_salarios_minimos
Saloá;3,8;4,7;3,8;3,0;3,4;2,3;2,8
Sanharó;3,7;4,6;4,2;2,9;2,9;2,8;2,8
Santa Cruz;4,3;5,3;4,1;2,7;2,6;2,9;3,6
Santa Cruz da Baixa Verde;3,9;5,3;3,9;2,9;2,9;2,8;3,0
Santa Cruz do Capibaribe;3,7;4,2;4,3;3,9;3,3;3,4;2,9
Santa Filomena;4,4;5,2;4,3;3,1;2,6;2,5;2,7
Santa Maria da Boa Vista;4,8;5,4;5,2;4,3;4,1;3,6;2,8
Santa Maria do Cambucá;3,8;4,7;3,7;2,7;3,1;3,5;4,2
Santa Terezinha;4,3;5,1;4,1;3,3;4,1;4,0;4,2
São Benedito do Sul;4,2;5,0;4,1;2,7;3,3;2,9;3,9
São Bento do Una;4,1;5,3;4,3;3,1;3,1;3,0;3,2
São Caitano;3,7;4,8;3,8;3,0;3,1;3,5;2,7
São João;4,2;5,3;4,0;3,0;3,1;3,2;3,0
São Joaquim do Monte;3,8;4,8;4,1;2,9;2,8;2,9;2,1
São José da Coroa Grande;4,3;5,5;4,3;3,6;3,4;3,2;2,7
São José do Belmonte;4,4;5,7;4,3;3,1;3,1;4,0;2,3
São José do Egito;3,6;4,6;3,7;2,9;2,9;2,9;2,9
São Lourenço da Mata;4,0;4,8;4,3;3,7;3,5;3,3;3,2
São Vicente Ferrer;4,2;5,5;4,4;3,0;3,2;2,8;2,5
Serra Talhada;3,9;5,0;4,2;3,3;3,3;3,4;3,2
Serrita;4,8;5,7;5,7;3,7;3,3;3,0;2,8
Sertânia;3,8;4,8;4,2;2,9;3,1;3,3;3,0
Sirinhaém;4,8;5,7;5,1;3,7;3,5;3,3;3,3
Solidão;4,3;5,3;4,0;2,5;3,3;4,6;-
Surubim;3,8;4,8;4,1;3,2;3,4;3,3;3,2
Tabira;3,8;4,7;3,8;3,0;2,9;3,4;2,9
Tacaimbó;3,9;4,9;4,2;3,1;2,6;2,5;3,2
Tacaratu;4,3;5,5;4,3;3,1;3,0;3,3;1,8
Tamandaré;4,3;5,3;4,8;3,4;3,1;1,8;2,4
Taquaritinga do Norte;3,6;4,8;4,2;3,3;3,3;2,5;3,1
Terezinha;4,2;5,2;3,7;2,7;2,6;3,4;3,2
Terra Nova;4,4;5,1;4,9;4,0;3,3;3,3;3,4
Timbaúba;4,2;5,2;4,5;3,4;3,6;3,2;2,9
Toritama;3,9;5,1;4,4;4,1;3,6;3,3;2,9
Tracunhaém;4,4;4,9;4,8;3,8;3,2;3,4;3,6
Trindade;4,3;5,3;4,3;3,5;3,6;3,0;3,5
Triunfo;4,0;5,2;4,3;3,4;3,0;2,6;3,3
Tupanatinga;4,5;5,4;4,2;2,9;3,3;3,8;3,2
Tuparetama;3,5;4,4;3,9;2,7;2,8;3,2;2,2
Venturosa;4,0;5,0;4,3;3,2;3,2;3,4;2,7
Verdejante;4,3;5,6;4,3;2,9;3,2;3,9;3,8
Vertente do Lério;4,0;5,4;3,7;2,5;2,6;1,8;2,9
Vertentes;3,6;4,7;3,8;3,0;3,2;3,0;2,7
Vicência;4,4;5,5;4,5;3,2;3,8;3,2;3,1
Vitória de Santo Antão;3,8;4,6;4,2;3,4;3,5;3,3;3,0
Xexéu;4,3;5,3;4,3;3,3;2,8;3,3;3,0
